,Brand,Model Name,Type,Capacity in Tons,Star Rating,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor Unit Weight,Outdoor Unit Weight,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,Price,indoor W,indoor h,indoor d,outdoor W,outdoor h,outdoor d,low Indoor Noise Level,high Indoor Noise Level
467,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,No,3.82,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
469,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,No,3.82,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
473,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,Yes,4.7,Blue,Blue,Yes,Yes,Horizontal,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 37 dB,High - 55 dB
476,SAMSUNG,AR24AY4YATZ,0,2,4,No Series,No,6000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Rotary Compressor,Copper,11.6,38.5,Yes,No,Yes,4,,,No,Yes,,Air Vent: Cross Flow,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AC 230 V,1158.53 W,60490,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
481,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,No,3.82,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
489,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,No,3.82,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
491,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,Yes,3.82,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,Yes,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5, Low - 43 dB,High - 58 dB
492,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,Yes,3.82,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,Yes,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5, Low - 43 dB,High - 58 dB
493,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
494,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
499,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,Yes,4.1,Golden,Blue,Yes,Yes,Two Way,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 43 dB,High - 55 dB
501,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
505,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
506,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
508,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,Yes,4.1,Golden,Blue,Yes,Yes,Two Way,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 43 dB,High - 55 dB
510,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
513,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
515,SAMSUNG,AR12AYMZABENNA/XNA,0,1,4,No Series,No,3300,Inverter,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,9,24.3,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,634.66 W,29490,82,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
516,SAMSUNG,AR24AY4YATZ,0,2,4,No Series,No,6000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Rotary Compressor,Copper,11.6,38.5,Yes,No,Yes,4,,,No,Yes,,Air Vent: Cross Flow,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AC 230 V,1158.53 W,60490,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
517,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,No,4,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
521,SAMSUNG,AR18AY4ZAPG,0,1.5,4,No Series,No,5000,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Inverter,Copper,10.1,27.8,Yes,No,Yes,5,,,No,Yes,,Air Vent: Cross Flow,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AC 230 V,940.09 W,33750,88.9,29.9,21.5,72,54.8,26.5,Low - 35 dB,High - 55 dB
360,SAMSUNG,AR12NV5XEWKXNA,0,1,5,No Series,No,3200,BLDC,Yes,Yes,R32,,Eco Tropical Inverter Technology,Alloy,9.3,24.5,,No,No,3,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240 V, 50 Hz",930 W,43500,828,267,265,720,548,265, Low - 22 dB,High - 39 dB
382,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,0,1.5,5,E3S,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,11.4,37,LED Digital,Yes,Yes,4.65,Titan Gold,Titan Gold,Yes,Yes,4 Way,4 Step Fan Speed,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,AC 230 V,1380 W,35990,105.5,29.9,21.5,88,63.8,31, Low - 36 dB,High - 48 dB
405,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,0,1.5,5,E3S,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,11.4,37,LED Digital,Yes,Yes,4.65,Titan Gold,Titan Gold,Yes,Yes,4 Way,4 Step Fan Speed,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,AC 230 V,1380 W,35990,105.5,29.9,21.5,88,63.8,31, Low - 36 dB,High - 48 dB
416,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,0,1.5,5,No Series,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,11.4,37,,No,No,4.65,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,1380 W,35990,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
440,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,0,1.5,5,No Series,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,11.4,37,,No,No,4.65,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,1380 W,35990,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
451,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,0,1.5,5,No Series,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,11.4,37,,No,No,4.65,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,1380 W,35990,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
463,SAMSUNG,AR12NV5XEWKXNA,0,1,5,No Series,No,3200,BLDC,Yes,Yes,R32,,Eco Tropical Inverter Technology,Alloy,9.3,24.5,,No,No,3,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240 V, 50 Hz",930 W,43500,828,267,265,720,548,265, Low - 22 dB,High - 39 dB
464,SAMSUNG,AR12NV5XEWKXNA,0,1,5,No Series,No,3200,BLDC,Yes,Yes,R32,,Eco Tropical Inverter Technology,Alloy,9.3,24.5,,No,No,3,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240 V, 50 Hz",930 W,43500,828,267,265,720,548,265, Low - 22 dB,High - 39 dB
474,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,0,1.5,5,No Series,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,11.4,37,,No,No,4.65,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,1380 W,35990,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
482,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,0,1.5,5,No Series,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,11.4,37,,No,No,4.65,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,1380 W,35990,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
523,Sansui,SAC153SIAP,0,1.5,3,No Series,No,5150,Dual Rotary,Yes,Yes,R32,Eco Mode,Dual Rotary,Copper,9,28,Yes,Yes,Yes,3.8,Hydrophilic Aluminum,Hydrophobic Aluminium,Yes,Yes,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1352 W,30490,1070,290,220,824,619,299,Low - 56 dB,High - 55 dB
524,Sansui,SAC153SFA_MPS,0,1.5,3,No Series,No,5100,Rotary,Yes,Yes,R32,"Turbo Mode, Sleep Mode",Rotary,Copper,14,40,Yes,No,Yes,3.61,Hydrophilic aluminum,Hydrophobic aluminium,Yes,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1413 W,28990,1000,230,295,780,241,557,Low - 35 dB,High - 55 dB
525,Sansui,SAC103SIA,0,1,3,No Series,No,3550,Rotary,Yes,Yes,R32,"Turbo Mode, Sleep Mode",Rotary Compressor with BLDC motor,Copper,9.3,26,Yes,No,Yes,3.8,Hydrophilic aluminum,Hydrophobic aluminium,Yes,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1045 W,27990,800,230,295,780,241,557,Low - 35 dB,High - 55 dB
526,TCL,TAC-18CSD/V3,0,1.5,3,No Series,No,5200,Ultra-Inverter Compressor,No,Yes,R32,,AI Ultra-Inverter Technology,Copper,9,32,,No,No,4,,,No,Yes,4 Way,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240 V, 50 Hz",1750 W,27899,91,20.6,29.4,81.7,55.3,32.8,Low - 35 dB,High - 55 dB
527,TCL,TAC-18CSD/V3,0,1.5,3,No Series,No,5200,Ultra-Inverter Compressor,No,Yes,R32,,AI Ultra-Inverter Technology,Copper,9,32,,No,No,4,,,No,Yes,4 Way,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240 V, 50 Hz",1750 W,27899,91,20.6,29.4,81.7,55.3,32.8,Low - 35 dB,High - 55 dB
528,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
529,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,No Series,No,5000,Rotary,Yes,Yes,R32,,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,,,Yes,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
530,TOSHIBA,RAS-13QKCV3G-INZ / RAS-13QACV3G-INZ,0,1,3,Zunoh,No,3500,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry, Powerful, Sleep",Coanda Airflow Technology,Copper,10,22,No,No,Yes,4,,,Yes,Yes,4 Way,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1200 W,34490,79.8,29.3,23,66,53,24, Low - 23 dB,High - 43 dB
531,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
532,TOSHIBA,RAS-13QKCV3G-INZ / RAS-13QACV3G-INZ,0,1,3,Zunoh,No,3500,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry, Powerful, Sleep",Coanda Airflow Technology,Copper,10,22,No,No,Yes,4,,,Yes,Yes,4 Way,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1200 W,34490,79.8,29.3,23,66,53,24, Low - 23 dB,High - 43 dB
533,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
534,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
535,TOSHIBA,RAS-24J2KG-IN / RAS-24J2AG-IN,0,1.8,3,No Series,No,6396,Rotary,Yes,Yes,R32,,Coanda Airflow Technology,Copper,12,46.8,No,No,Yes,4,,,Yes,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 230 - 240 V, 50 Hz",2200 W,44000,100,29.5,23,86.9,68.8,30.8, Low - 39 dB,High - 44.5 dB
536,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
537,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
538,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
539,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
540,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
541,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
542,TOSHIBA,RAS-13QKCV3G-INZ / RAS-13QACV3G-INZ,0,1,3,Zunoh,No,3500,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry, Powerful, Sleep",Coanda Airflow Technology,Copper,10,22,No,No,Yes,4,,,Yes,Yes,4 Way,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1200 W,34490,79.8,29.3,23,66,53,24, Low - 23 dB,High - 43 dB
543,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
544,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
546,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
547,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
548,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,0,1.5,3,Magicool Pro,No,5000,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,9,33,No,No,Yes,4,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,39990,79.8,29.3,23,78,55,29, Low - 25 dB,High - 48 dB
